eta,grid,time,nonlinear_iterations
0.5,128,2.797498335832411e-05,3
0.5,128,3.177248169415653e-05,3
0.5,128,3.594972986357219e-05,3
0.5,128,4.05447028499294e-05,3
0.5,128,4.559917313492235e-05,3
0.5,128,5.115909044841459e-05,3
0.5,128,5.727499949325605e-05,3
0.5,128,6.400249944258165e-05,3
0.5,128,7.140274938683982e-05,3
0.5,128,7.954302432552381e-05,3
0.5,128,8.849732675807619e-05,3
0.5,128,9.834705943388383e-05,3
0.5,128,0.0001091817653772722,3
0.5,128,0.0001210999419149994,3
0.5,128,0.0001342099361064994,3
0.5,128,0.0001486309297171494,3
0.5,128,0.0001644940226888643,3
0.5,128,0.0001819434249577508,4
0.5,128,0.0002011377674535259,4
0.5,128,0.0002222515441988785,4
0.5,128,0.0002454766986187664,4
0.5,128,0.000271024368480643,4
0.5,128,0.0002991268053287073,4
0.5,128,0.0003300394858615781,4
0.5,128,0.0003640434344477359,4
0.5,128,0.0004014477778925096,4
0.5,128,0.0004425925556817605,4
0.5,128,0.0004878518112499367,4
0.5,128,0.0005376369923749304,4
0.5,128,0.0005924006916124235,4
0.5,128,0.0006526407607736659,4
0.5,128,0.0007189048368510325,4
0.5,128,0.0007917953205361358,4
0.5,128,0.0008719748525897494,4
0.5,128,0.0009601723378487245,4
0.5,128,0.001057189571633597,5
0.5,128,0.001163908528796957,5
0.5,128,0.001281299381676653,5
0.5,128,0.001410429319844318,5
0.5,128,0.00155247225182875,5
0.5,128,0.001708719477011625,5
0.5,128,0.001880591424712788,5
0.5,128,0.002069650567184067,5
0.5,128,0.002277615623902474,5
0.5,128,0.002506377186292721,5
0.5,128,0.002758014904921994,6
0.5,128,0.003034816395414193,6
0.5,128,0.003339298034955613,6
0.5,128,0.003674227838451174,6
0.5,128,0.004042650622296292,6
0.5,128,0.004447915684525921,6
0.5,128,0.004893707252978514,6
0.5,128,0.005384077978276365,7
0.5,128,0.005923485776104002,7
0.5,128,0.006516834353714403,7
0.5,128,0.007169517789085845,7
0.5,128,0.00788746956799443,7
0.5,128,0.008677216524793875,8
0.5,128,0.009545938177273262,8
0.5,128,0.01050153199500059,8
0.5,128,0.01155268519450065,8
0.5,128,0.01270895371395072,9
0.5,128,0.01398084908534579,9
0.5,128,0.01537993399388037,10
0.5,128,0.01691892739326841,10
0.5,128,0.01861182013259525,11
0.5,128,0.02047400214585477,11
0.5,128,0.02252240236044025,12
0.5,128,0.02477564259648428,12
0.5,128,0.02725420685613271,13
0.5,128,0.02998062754174599,14
0.5,128,0.03297969029592059,15
0.5,128,0.03627865932551265,16
0.5,128,0.03990752525806392,17
0.5,128,0.04389927778387032,18
0.5,128,0.0479599712699322,19
0.5,128,0.05172736045461658,19
0.5,128,0.05534693265969904,21
0.5,128,0.05902431199774665,26
0.5,128,0.06240742329077643,30
0.5,128,0.06531763240541419,38
0.5,128,0.06797920014935623,34
0.5,128,0.07059071422080855,34
0.5,128,0.0733104255632744,36
0.5,128,0.07589162885587734,38
0.5,128,0.07819548548132495,41
0.5,128,0.08036193253218409,24
0.5,128,0.08251712435900906,19
0.5,128,0.08473929151822762,18
0.5,128,0.08700853052365404,20
0.5,128,0.08919482121333286,21
0.5,128,0.09123344394729999,21
0.5,128,0.09317314821554015,20
0.5,128,0.09511671222511794,19
0.5,128,0.09716174358164893,20
0.5,128,0.09917855111154346,21
0.5,128,0.1011898859219024,21
0.5,128,0.1030621337822696,21
0.5,128,0.1048691448840388,22
0.5,128,0.1067153039091461,22
0.5,128,0.1086279666733025,23
0.5,128,0.1106091868285,24
0.5,128,0.1125076666647974,24
0.5,128,0.1142820317428398,24
0.5,128,0.116023862827545,24
0.5,128,0.1178430435770148,25
0.5,128,0.1197301766626679,25
0.5,128,0.1217307168151467,26
0.5,128,0.1235580893493404,25
0.5,128,0.1252834146153571,25
0.5,128,0.1270225003853016,25
0.5,128,0.1288141377210751,25
0.5,128,0.1306183331956565,25
0.5,128,0.1324759658068755,26
0.5,128,0.1342240851647223,25
0.5,128,0.1359333501890264,25
0.5,128,0.1377114535523706,25
0.5,128,0.1394836375341335,26
0.5,128,0.1412272993330336,25
0.5,128,0.1430036894048815,26
0.5,128,0.1447230144208667,26
0.5,128,0.1464581391109868,26
0.5,128,0.1483193057467712,26
0.5,128,0.1500942631145067,26
0.5,128,0.1518093201672962,26
0.5,128,0.1535455511014856,26
0.5,128,0.1552751118808167,26
0.5,128,0.1570812105045362,26
0.5,128,0.1589673310678522,26
0.5,128,0.1607302232742363,26
0.5,128,0.1624366510248228,26
0.5,128,0.1641714370520853,26
0.5,128,0.1659564518677432,26
0.5,128,0.1677731486667169,26
0.5,128,0.1696141697815104,26
0.5,128,0.1713537230281963,26
0.5,128,0.1730716304476565,25
0.5,128,0.1748467217939829,26
0.5,128,0.1766439180841582,26
0.5,128,0.1784178015018323,26
0.5,128,0.1802078054287432,26
0.5,128,0.1819393521219981,25
0.5,128,0.1836947611277568,25
0.5,128,0.1855528285681733,26
0.5,128,0.18736348506019,26
0.5,128,0.1891216620400653,25
0.5,128,0.1908853705565265,25
0.5,128,0.192636773095816,25
0.5,128,0.1944686751652749,26
0.5,128,0.196420304376321,26
0.5,128,0.1982446655691135,25
0.5,128,0.2000105244216346,25
0.5,128,0.201780314372804,25
0.5,128,0.2035964556338631,25
0.5,128,0.2054442624935087,25
0.5,128,0.2073463763518513,25
0.5,128,0.2091491494620701,25
0.5,128,0.2109354039863136,25
0.5,128,0.2127533065661553,25
0.5,128,0.2146173540237714,25
0.5,128,0.2164501181423811,25
0.5,128,0.2183036891420019,25
0.5,128,0.2201037537828712,25
0.5,128,0.2219378788439503,25
0.5,128,0.2238562505447601,25
0.5,128,0.2257391016909996,25
0.5,128,0.2275708553609522,25
0.5,128,0.2294025951498359,25
0.5,128,0.2312354921224346,25
0.5,128,0.2331500455139309,25
0.5,128,0.235176148534525,25
0.5,128,0.2370755780837317,25
0.5,128,0.2389307831952169,25
0.5,128,0.2407857212581469,25
0.5,128,0.2427159820675484,25
0.5,128,0.2446389182219046,25
0.5,128,0.2465961376306254,25
